transaction_id|date|product_code|qty
185|2019-01-09|132|1.0
186|2019-01-10|132|1.0
187|2019-02-11|132|1.0
188|2019-02-12|132|1.0
189|2019-02-13|132|1.0
190|2019-02-14|132|1.0
191|2019-02-15|132|1.0
192|2019-02-16|132|1.0
193|2019-02-17|132|1.0
194|2019-02-18|132|1.0
195|2019-02-19|132|1.0
196|2019-02-20|132|1.0
197|2019-02-21|132|1.0
198|2019-02-22|132|1.0
199|2019-02-23|132|1.0
200|2019-02-24|132|1.0
201|2019-02-25|132|1.0
202|2019-02-26|132|1.0
203|2019-02-27|132|1.0
204|2019-02-28|132|1.0
205|2019-03-01|132|1.0
206|2019-03-02|132|1.0
207|2019-03-03|132|1.0
208|2019-03-04|132|1.0
209|2019-03-05|132|1.0
210|2019-03-06|132|1.0
211|2019-03-07|132|1.0
212|2019-03-08|132|1.0
213|2019-03-09|132|1.0
214|2019-03-10|132|1.0
215|2019-03-11|132|1.0
216|2019-03-12|132|1.0
217|2019-03-13|132|1.0
218|2016-03-30|161|1.0
219|2016-03-31|161|1.0
220|2016-04-01|161|1.0
221|2016-04-02|161|1.0
222|2016-04-03|161|1.0
223|2016-04-04|161|1.0
224|2016-04-05|161|1.0
225|2016-04-06|161|1.0
226|2016-04-07|161|1.0
227|2016-04-08|161|1.0
228|2016-04-09|161|1.0
229|2016-04-10|161|1.0
230|2016-04-11|161|1.0
231|2016-05-09|161|1.0
232|2016-05-10|161|1.0
233|2016-06-07|161|1.0
234|2016-06-16|161|1.0
235|2016-06-17|161|1.0
236|2016-06-18|161|1.0
237|2016-06-19|161|1.0
238|2016-11-08|161|1.0
239|2016-11-15|161|1.0
240|2016-11-16|161|1.0
241|2016-11-17|161|1.0
242|2017-03-01|161|1.0
243|2017-07-03|161|1.0
244|2017-07-04|161|1.0
245|2017-07-05|161|1.0
246|2017-07-06|161|1.0
247|2017-07-07|161|1.0
248|2017-07-08|161|1.0
249|2017-07-09|161|1.0
250|2017-07-10|161|1.0
251|2017-07-11|161|1.0
252|2017-07-12|161|1.0
253|2017-11-21|161|1.0
254|2018-01-30|161|1.0
255|2018-02-06|161|1.0
256|2018-02-07|161|1.0
257|2018-09-04|161|1.0
258|2018-09-05|161|1.0
259|2018-09-06|161|1.0
260|2018-09-07|161|1.0
261|2018-09-08|161|1.0
262|2018-09-09|161|1.0
263|2018-09-10|161|1.0
264|2018-09-11|161|1.0
265|2018-09-12|161|1.0
266|2018-09-13|161|1.0
267|2018-09-14|161|1.0
268|2018-09-15|161|1.0
269|2018-09-16|161|1.0
270|2018-09-17|161|1.0
271|2018-09-20|161|1.0
272|2018-09-21|161|1.0
273|2018-09-22|161|1.0
274|2018-09-23|161|1.0
275|2016-07-12|162|1.0
276|2016-07-27|162|1.0
277|2016-08-10|162|1.0
278|2016-08-11|162|1.0
279|2016-08-12|162|1.0
280|2016-08-13|162|1.0
281|2016-08-14|162|1.0
282|2016-08-15|162|1.0
283|2016-11-25|162|1.0
284|2016-12-09|162|1.0
285|2016-12-10|162|1.0
286|2016-12-11|162|1.0
287|2016-12-12|162|1.0
288|2017-03-31|162|1.0
289|2017-04-01|162|1.0
290|2017-04-02|162|1.0
291|2017-04-10|162|1.0
292|2017-04-11|162|1.0
293|2017-04-12|162|1.0
294|2017-04-13|162|1.0
295|2017-04-14|162|1.0
296|2017-04-15|162|1.0
297|2017-04-16|162|1.0
298|2017-04-17|162|1.0
299|2017-04-18|162|1.0
300|2017-04-19|162|1.0
301|2017-04-20|162|1.0
302|2017-04-21|162|1.0
303|2017-04-22|162|1.0
304|2017-04-23|162|1.0
305|2017-04-24|162|1.0
306|2017-04-25|162|1.0
307|2017-04-26|162|1.0
308|2017-04-27|162|1.0
309|2017-04-28|162|1.0
310|2017-04-29|162|1.0
311|2017-04-30|162|1.0
312|2017-05-01|162|1.0
313|2017-05-02|162|1.0
314|2017-05-03|162|1.0
315|2017-05-04|162|1.0
316|2017-05-05|162|1.0
317|2017-05-06|162|1.0
318|2017-05-07|162|1.0
319|2017-05-08|162|1.0
320|2017-05-09|162|1.0
321|2017-05-10|162|1.0
322|2017-05-11|162|1.0
323|2017-05-12|162|1.0
324|2017-05-13|162|1.0
325|2017-05-14|162|1.0
326|2017-05-15|162|1.0
327|2017-05-16|162|1.0
328|2017-05-17|162|1.0
329|2017-05-18|162|1.0
330|2017-05-19|162|1.0
331|2017-05-20|162|1.0
332|2017-05-21|162|1.0
333|2017-05-22|162|1.0
334|2017-05-23|162|1.0
335|2017-05-24|162|1.0
336|2017-05-25|162|1.0
337|2017-05-26|162|1.0
338|2017-05-27|162|1.0
339|2017-05-28|162|1.0
340|2017-05-29|162|1.0
341|2017-07-18|162|1.0
342|2017-07-19|162|1.0
343|2017-07-20|162|1.0
344|2017-07-21|162|1.0
345|2017-07-22|162|1.0
346|2017-07-23|162|1.0
347|2017-07-24|162|1.0
348|2017-07-25|162|1.0
349|2017-07-26|162|1.0
350|2017-07-27|162|1.0
351|2017-07-28|162|1.0
352|2017-07-29|162|1.0
353|2017-07-30|162|1.0
354|2017-07-31|162|1.0
355|2017-09-21|162|1.0
356|2017-09-29|162|1.0
357|2017-09-30|162|1.0
358|2017-10-01|162|1.0
359|2017-10-02|162|1.0
360|2017-11-07|162|1.0
361|2017-11-15|162|1.0
362|2017-11-16|162|1.0
363|2017-11-17|162|1.0
364|2017-11-18|162|1.0
365|2017-11-19|162|1.0
366|2017-12-18|162|1.0
367|2017-12-19|162|1.0
368|2017-12-20|162|1.0
369|2017-12-21|162|1.0
370|2018-02-14|162|1.0
371|2018-02-15|162|1.0
372|2018-02-16|162|1.0
373|2018-02-17|162|1.0
374|2018-02-18|162|1.0
375|2018-02-19|162|1.0
376|2018-02-20|162|1.0
377|2018-03-08|162|1.0
378|2018-03-09|162|1.0
379|2018-03-10|162|1.0
380|2018-03-11|162|1.0
381|2018-03-12|162|1.0
382|2018-06-27|162|1.0
383|2018-06-28|162|1.0
384|2018-08-27|162|1.0
385|2016-02-18|133|1.0
386|2016-02-24|133|1.0
387|2016-02-25|133|1.0
388|2016-03-11|133|1.0
389|2016-04-12|133|1.0
390|2016-04-14|133|1.0
391|2016-05-09|133|1.0
